set_code_name,format,date,wins,losses,ties,colors,splash,platform,link
DOM,Sealed,26/4/18,2,1,1,BG,R,paper,https://www.instagram.com/p/BiDLNAgB08S/
DOM,Draft,2/5/18,1,2,0,RG,W,paper,https://www.instagram.com/p/BiRTuqjhy3J/
DOM,Draft,14/5/18,2,1,0,WB,,paper,https://www.instagram.com/p/BiwC3OlBprh/
DOM,Draft,2/6/18,2,1,0,BG,,paper,https://www.instagram.com/p/BjhoAyDhklR/
DOM,Draft,5/6/18,2,1,0,WB,,paper,https://www.instagram.com/p/Bjor48uhw5V/
DOM,Draft,11/6/18,2,1,0,WB,R,paper,https://www.instagram.com/p/Bj4DUSUhE74/
DOM,Draft,23/6/18,2,1,0,BG,,paper,https://www.instagram.com/p/BkX4tAzBA_1/
DOM,Draft,4/7/18,2,1,0,WU,,paper,https://www.instagram.com/p/BkzTXpGhxNg/
M19,Sealed,14/7/18,3,0,0,BR,,paper,https://www.instagram.com/p/BlOt7grBqzG/
M19,Sealed,16/7/18,2,2,0,WU,,paper,https://www.instagram.com/p/BlSRcYXBm7P/
M19,Draft,20/7/18,2,1,0,RG,,paper,https://www.instagram.com/p/BldfmLTBUB5/
M19,Draft,23/7/18,3,0,0,RG,W,paper,https://www.instagram.com/p/Bll9IuGhk72/
M19,Draft,30/7/18,1,2,0,RW,,paper,https://www.instagram.com/p/Bl3rJBNBC1V/
M19,Draft,5/8/18,2,1,0,RG,,paper,https://www.instagram.com/p/BmFnZuVBVrh/
M19,Draft,6/8/18,2,1,0,RW,,paper,https://www.instagram.com/p/BmJijL4hKA-/
M19,Draft,11/8/18,2,1,0,WB,,paper,https://www.instagram.com/p/BmVVONdhyp7/
M19,Draft,16/8/18,1,1,1,UB,G,paper,https://www.instagram.com/p/Bmh5H_ShAwf/
M19,Draft,23/8/18,2,1,0,RW,,paper,https://www.instagram.com/p/Bm0JYY7h0ID/
M19,Draft,2/10/18,2,1,0,UB,,paper,https://www.instagram.com/p/Bob6kNmh35i/
GRN,Sealed,11/10/18,6,0,0,UB,,paper,https://www.instagram.com/p/BozoFgyhTDV/
GRN,Sealed,21/10/18,1,2,0,WR,,paper,https://www.instagram.com/p/BpMhPlVBeqq/
GRN,Draft,24/10/18,3,0,0,UBG,,paper,https://www.instagram.com/p/BpTzLVDBQYw/
GRN,Draft,29/10/18,2,1,0,UB,R,paper,https://www.instagram.com/p/BpgktLYhqHL/
GRN,Draft,13/11/18,2,1,0,UB,,paper,https://www.instagram.com/p/BqHUOFWgbeb/
GRN,Draft,4/12/18,2,1,0,BG,W,paper,https://www.instagram.com/p/Bq-ZxGjAeVR/
GRN,Draft,11/12/18,2,1,0,WG,,paper,https://www.instagram.com/p/BrPbH5UgVba/
GRN,Draft,7/1/19,2,1,0,UR,W,paper,https://www.instagram.com/p/BsVh1OPAk-L/
RNA,Sealed,23/1/19,3,1,0,BRG,,paper,https://www.instagram.com/p/Bs-PscygA6r/
RNA,Draft,5/2/19,3,0,0,RG,B,paper,https://www.instagram.com/p/BtiZ0U6gNsR/
RNA,Draft,6/2/19,2,1,0,UG,,paper,https://www.instagram.com/p/BtjoM3aAo_6/
RNA,Draft,19/2/19,1,2,0,BR,,paper,https://www.instagram.com/p/BuEhQOEAuTw/
RNA,Draft,28/2/19,0,2,1,WB,,paper,https://www.instagram.com/p/BuaxsA4hsw5/
THS,Draft,12/3/19,1,1,1,WU,,paper,https://www.instagram.com/p/Bu5ghUlg4sT/
RNA,Draft,19/3/19,2,1,0,RG,,paper,https://www.instagram.com/p/BvLolCxgoNB/
RNA,Draft,26/3/19,1,2,0,WUBRG,,paper,https://www.instagram.com/p/Bvdiy1qgcux/
